23.164.152.0/24,GB,GB-LND,London,WC2A 2JR
2a13:df87:4002::/48,GB,GB-LND,London,WC2A 2JR
2a13:df87:4004::/48,US,US-AZ,Phoenix,85034
2a13:df87:4005::/48,GB,GB-LND,London,WC2A 2JR
